userName,date,duration,project,client,description
leslie,2018-08-22,0.5,Support: Ongoing,cordaid,"Merged ""open"" status options with ""active"""
leslie,2018-08-22,3,Support: Ongoing,cordaid,Created a new massive template to help them update all their activity mappings & IATI stuff. Sigh.
leslie,2018-08-22,2,Support: Ongoing,inlap,"2hr in-person meeting about their feature requests. Most is reasonable though some is high priority to them and low priority to us (aka, doesn't solve anyone else's problems)"
leslie,2018-08-22,1,Support: Ongoing,inlap,Sent documented feature requests and follow-up summary
leslie,2018-08-22,1,Support: Ongoing,ht,Add future reporting periods for Haiti
leslie,2018-08-22,1,Overhead,,Draft tracker for coaches/goals: https://docs.google.com/spreadsheets/d/1s2vFZwYnZitGFHCtS4eSD8U5JIyrefcbktFTHRfkC7Q/edit?usp=sharing and https://github.com/DevResults/DevResults/wiki/Employee-Mentoring-and-Feedback-System
leslie,2018-08-22,0.5,Support: Scaling training & help,,Submitted freedom week proposal
leslie,2018-08-22,0.5,Support: Ongoing,winrock,Winrock: Addressed Sam's interest in multiple hierarchical enterprise sites for Winrock
leslie,2018-08-22,1.5,Support: Ongoing,winrock,VCRD: started work on adding geo layers but their custom files aren't right
leslie,2018-08-22,0.5,Overhead,,Sorted storage emulator
leslie,2018-08-23,1.5,Overhead,,Reworked data KPIs a bit
leslie,2018-08-23,3,Overhead,,All the meetings. Ritika and I have made great strides in 1) how we handle Data Backlog and 2) in blocking off time for working on things that have no deadline
leslie,2018-08-23,2,Support: Scaling training & help,,Worked on developing beautiful standard forms for the Forms tab to use in the demo and all sandbox sites. Didn't get very far but it was satisfying to work on an old goal.
leslie,2018-08-23,2,Support: Ongoing,cordaid,Cordaid: created an IATI import template that will be more-or-less reusable for other folks before we have import tools in-app.
leslie,2018-08-24,2,Feature: Too small to name,,Started on improved role descriptions
leslie,2018-08-24,4,Overhead,,The usual. And talking about talking. And responding to talking.
leslie,2018-08-24,1,Overhead,,"Emails, scheduling, etc."
leslie,2018-08-27,1,Support: Ongoing,winrock,"Met with Kerry from Winrock about maintaining capacity, launching Empower"
leslie,2018-08-27,1.5,Business: Outreach,mescla,All the USAID CIO talking
leslie,2018-08-27,0.5,Overhead,,Reviewed 2019 renewal likelihood
leslie,2018-08-27,1,Overhead,,Emptied inbox
leslie,2018-08-27,1,Overhead,,Started hours tracking
leslie,2018-08-27,0.5,Overhead,,Pulled ARP KPI stats so that we have a baseline for purposes of comparison: G:\Team Drives\Support\KPIs
leslie,2018-08-27,0.5,Business: Outreach,plan,Talked to Josh/Aasit about Plan International
leslie,2018-08-27,2.5,Business: Outreach,,Worked on MERL Tech talk & panel
leslie,2018-08-28,1,Support: Ongoing,cordaid,Talking about templates for upload
leslie,2018-08-28,1,Business: Proposals,plan,Working with Aasit on their requirements list
leslie,2018-08-28,1,Business: Outreach,lac,Meeting with USAID M/CIO's office
leslie,2018-08-28,1,Support: Ongoing,winrock,Met with new employee
leslie,2018-08-28,1.5,Business: Outreach,wvus,Demo follow-up
leslie,2018-08-28,1.5,Business: Outreach,,Worked on MERL Tech talk & panel
brent,2018-08-29,1,Tech wealth: Other,,Created a spreadsheet to detail our database schema
brent,2018-08-29,3,Tech wealth: Bug fixin,,Continued updating the BaseExcelBulkImporter to enforce validation for lookups; Added tests
brent,2018-08-29,2,Tech wealth: Bug fixin,,Investigation and creation of a script to assign a value to IsCrossDisaggregated where it was null
leslie,2018-08-29,2,Business: Outreach,,Presentation prep for MERL
